A_Kata,B_Kata_Loss_Count,B_Nom
Chatanyara_Kushanku,1,Putri_Aprilia_Krisda
Paiku,1,Putri_Aprilia_Krisda
Kururunfa,1,Minano_Lanyfer
Suparinpei,1,Minano_Lanyfer
Chibana_No_Kushanku,2,Bozan_Dilara
Papuren,1,Bozan_Dilara
Anan_Dai,1,Williams_Danni
Oyadomari_No_Passai,1,Ohuchi_Mirisa
Papuren,1,Ohuchi_Mirisa
Chatanyara_Kushanku,1,Feracci_Alexandra
Chibana_No_Kushanku,1,Feracci_Alexandra
Gankaku,1,Feracci_Alexandra
Suparinpei,1,Feracci_Alexandra
Gojushiho_Sho,1,Jay_Shirley
Kururunfa,3,Jay_Shirley
Ohan_Dai,1,Jay_Shirley
Oyadomari_No_Passai,1,Jay_Shirley
Paiku,1,Jay_Shirley
Papuren,1,Jay_Shirley
Suparinpei,2,Jay_Shirley
Chatanyara_Kushanku,1,Donofrio_Terryana
Papuren,1,Donofrio_Terryana
Papuren,3,Mariana_Semblano
Chatanyara_Kushanku,1,Kokumai_Sakura
Papuren,2,Kokumai_Sakura
Suparinpei,1,Kokumai_Sakura
Chatanyara_Kushanku,1,Azuma_Saeko
Gankaku,1,Afsaneh_Mahsa
Suparinpei,1,Afsaneh_Mahsa
Chatanyara_Kushanku,1,Manca_Chiara
Suparinpei,1,Manca_Chiara
Gankaku,1,Vanusanikova_Jana
Gojushiho_Dai,1,Vanusanikova_Jana
Kururunfa,1,Vanusanikova_Jana
Sansai,1,Vanusanikova_Jana
Chibana_No_Kushanku,1,Turner_Nicole
Papuren,1,Turner_Nicole
Anan,1,EnNesry_Aya
Chatanyara_Kushanku,1,EnNesry_Aya
Paiku,1,Taily_Helvetia
Papuren,1,Taily_Helvetia
Gankaku,1,Garcia_Lozano_Paola
Kururunfa,1,Garcia_Lozano_Paola
Papuren,1,Dominici_Roberta
Chatanyara_Kushanku,1,Lau_Mo_Sheung_Grace
Chibana_No_Kushanku,2,Lau_Mo_Sheung_Grace
Anan_Dai,1,Kimura_Dyun
Gojushiho_Dai,1,Kimura_Dyun
Ohan ,1,Kimura_Dyun
Unsu,1,Abe_Sakichi
Chatanyara_Kushanku,1,Iodice_Alessandro
Papuren,1,Iodice_Alessandro
Gojushiho_Sho,1,Torres_Gutierrez_Ariel
Sochin,1,Torres_Gutierrez_Ariel
Enpi,1,Harrison_James
Ohan_Dai,1,Harrison_James
Suparinpei,1,Harrison_James
Unsu,1,Harrison_James
Anan_Dai,1,Zaresta_Yuda_Ahmad_Zigi
Ohan_Dai,1,Zaresta_Yuda_Ahmad_Zigi
Unsu,1,Zaresta_Yuda_Ahmad_Zigi
Kanku_Sho,1,Kikuchi_Ryonosuke
Suparinpei,1,Kikuchi_Ryonosuke
Gojushiho_Sho,1,Benmekhlouf_Saber
Sochin,1,Quintero_Capdevila_Damian_Hugo
Enpi,1,Ujihara_Yuki
Chatanyara_Kushanku,1,Moto_Kazumasa
Kanku_Sho,1,Moto_Kazumasa
Gojushiho_Dai,1,Hrcka_Roman
Gojushiho_Sho,1,Hrcka_Roman
Kanku_Sho,1,Hrcka_Roman
Ohan_Dai,1,Hrcka_Roman
Sochin,1,Hrcka_Roman
Unsu,1,Hrcka_Roman
Chatanyara_Kushanku,2,Ghinami_Alessio
Unsu,1,Ghinami_Alessio
Ohan_Dai,2,Sofuoglu_Ali
Papuren,1,Tozaki_Taishi
Unsu,1,Tozaki_Taishi
Gojushiho_Dai,1,Nagy_Botond
Gojushiho_Sho,1,Nagy_Botond
Ohan,1,Nagy_Botond
Unsu,1,Busato_Mattia
Anan_Dai,2,Almosawi_Sayed_Salman
Sochin,1,Almosawi_Sayed_Salman
Suparinpei,1,Duran_Kutluhan
Unsu,1,Duran_Kutluhan
Anan_Dai,1,Casanova_Guerrero_Cleiver
Chibana_No_Kushanku,1,Casanova_Guerrero_Cleiver
Gojushiho_Dai,1,Casanova_Guerrero_Cleiver
Suparinpei,1,Moto_Ryuji
Unsu,1,Moto_Ryuji
Papuren,1,Laos_Loo_Claudia
Sansai,1,Laos_Loo_Claudia
Suparinpei,1,Laos_Loo_Claudia
Kururunfa,1,Tung_Yee_Yin
Ohan,1,Tung_Yee_Yin
Paiku,1,Tung_Yee_Yin
Papuren,1,Tung_Yee_Yin
Suparinpei,1,Tung_Yee_Yin
Oyadomari_No_Passai,1,Cruz_Ana
Papuren,1,Xenou_Georgia_Archontia
Chibana_No_Kushanku,1,Wong_Sze_Man
Kururunfa,2,Wong_Sze_Man
Papuren,1,Wong_Sze_Man
Suparinpei,1,Wong_Sze_Man
Chatanyara_Kushanku,1,Morales_Ozuna_Gema
Kururunfa,1,Morales_Ozuna_Gema
Papuren,1,Morales_Ozuna_Gema
Unsu,1,Morales_Ozuna_Gema
Chatanyara_Kushanku,1,Colak_Keyda_Nur
Papuren,1,Colak_Keyda_Nur
Chibana_No_Kushanku,2,Casale_Carol
Gojushiho_Dai,1,Casale_Carol
Kururunfa,1,Casale_Carol
Papuren,1,Lo_Sum_Man
Gojushiho_Dai,1,Sadeghi_Dastak_Fatemeh
Gojushiho_Sho,1,Juettner_Jasmin
Paiku,1,Juettner_Jasmin
Papuren,1,Juettner_Jasmin
Suparinpei,1,Juettner_Jasmin
Kururunfa,1,Alforte_Sakura
Anan,1,Bardos_Adam
Gojushiho_Dai,1,Bardos_Adam
Gojushiho_Sho,2,Bardos_Adam
Ohan_Dai,1,Bardos_Adam
Papuren,1,Bardos_Adam
Sansai,1,Bardos_Adam
Ohan_Dai,1,Ikeda_Ryusei
Gojushiho_Sho,1,Gruitia_Matthew
Gojushiho_Dai,1,Diop_Omar
Kanku_Sho,1,Diop_Omar
Papuren,1,Diop_Omar
Shisochin,1,Diop_Omar
Gojushiho_Sho,1,Comanescu_Petru
Chatanyara_Kushanku,1,Gallo_Gianluca
Kanku_Sho,1,Gallo_Gianluca
Unshu,1,Gallo_Gianluca
Kousoukun_Sho,1,Armada_Ruiz_Andrea
Chibana_No_Kushanku,1,Khamis_Jana
Gojushiho_Sho,1,Khamis_Jana
Papuren,1,Mishima_Kiri
Kanku_Sho,1,Fedorov_Yaroslav
Ohan_Dai,1,Fedorov_Yaroslav
Unsu,1,Fedorov_Yaroslav
Ohan_Dai,1,Chinen_Rey
Ohan,1,Abu_Alhaija_Kareem
Anan_Dai,1,Machida_Yasuhiro
Ohan_Dai,1,Machida_Yasuhiro
Unsu,1,Funada_Aoi
Kanku_Sho,1,Almosawi_Sayed_Mohammed
Kururunfa,1,Amato_Carolina
Gojushiho_Sho,1,Vu_Anthony
Papuren,1,Ghaly_Karim
Kanku_Sho,1,Abu_Wahib_Jonas
Suparinpei,1,Abu_Wahib_Jonas
Anan_Dai,1,Thiboutot_Heloise
Anan_Dai,1,Moen_Maria_Manum
Ohan_Dai,2,Stossel_Anna
Gojushiho_Dai,1,Rigoni_Clelia
Gojushiho_Dai,1,Paoletti_Ilaria
Gojushiho_Dai,1,Clow_Amelia
Gojushiho_Sho,1,Stevens_Julie
Tomari_Bassai,1,Tsagkera_Sofia
Suparinpei,1,Allam_Asmaa
Papuren,1,Severan_Lea
Gojushiho_Dai,1,Williams_Jordanna
Tomari_Bassai,1,Marchetti_Giulia
Papuren,1,Juergensmann_Natalie
Tomari_Bassai,1,Statelli_Maria_Eleni
Chibana_No_Kushanku,1,Pelit_Damla
Gojushiho_Sho,1,Pronk_Suzelle
Kishimoto_No_Kushanku,1,Pronk_Suzelle
Chibana_No_Kushanku,1,De_Gregorio_Gabriella
Papuren,1,De_Gregorio_Gabriella
Anan_Dai,1,Diana_Bianca
Papuren,1,Diana_Bianca
Papuren,1,Van_Rest_Merah
Chatanyara_Kushanku,1,Alandujani_Jouri
Kururunfa,1,Muzurovic_Ilda
Anan_Dai,1,Fabian_Csenge_Zita
Nipaipo,1,Fabian_Csenge_Zita
Gojushiho_Dai,1,Siebert_Rita
Papuren,1,Gawel_Eliza
Gojushiho_Sho,1,Da_Rocha_Ferreira_Jessica_Adreina
Kanku_Sho,1,Chianchi_Martina
Tomari_Bassai,1,Mark_Melinda
Anan_Dai,1,Giannaki_Foteini
Sochin,1,Vlai_Jessica
Unsu,1,Sanchez_Gonzalez_Naiara
Kururunfa,1,Huerta_Hernandez_Rocio
Suparinpei,1,Kitaguchi_Kao
Kururunfa,1,Pieri_Laura
Suparinpei,1,Pieri_Laura
Gojushiho_Sho,1,Alberte_Ananda
Papuren,1,Alberte_Ananda
Kishimoto_No_Kushanku,1,Ederar_Miriam
Chibana_No_Kushanku,1,Lekakou_Marina
Papuren,1,Fridriksdottir_Eydis_Magnea
Papuren,1,Sobaleva_Stafaniya
Chatanyara_Kushanku,2,Lopez_Pintado_Maria
Chibana_No_Kushanku,1,Lopez_Pintado_Maria
Chibana_No_Kushanku,1,Alzaid_Manal
Anan,1,Salvati_Erica
Papuren,1,Salvati_Erica
Kururunfa,1,Hypolito_Naomi
Papuren,1,Tagliafierro_Chiara
Anan,1,Wahjudi_Soraya
Anan_Dai,1,Wahjudi_Soraya
Anan_Dai,1,Yilmaz_Ayse
Papuren,1,Membo_Kirils
Ohan_Dai,1,Tardio_Royo_Mario
Gojushiho_Dai,1,Tran_Fabien
Anan_Dai,1,Cosci_Giuseppe
Papuren,1,Del_Valle_Catala_Francesco
Kururunfa,1,Gaglio_Andre
Gojushiho_Sho,1,Niedziela_Wojciech
Kururunfa,1,Espadas_Herrera_Xavier
Anan_Dai,1,Villano_Cristian
Suparinpei,1,Di_Rubba_Luigi
Kanku_Sho,1,Masar_Vit
Unsu,1,Andrei_Nedelcu
Sansai,1,Boskov_Aleksandar
Ohan_Dai,2,Serra_Cristian
Anan_Dai,1,Veladzic_Senaid
Kanku_Sho,1,Venes_Afonso
Gojushiho_Sho,1,Ques_Garcia_Miquel
Ohan_Dai,1,Hoffman_Molinas_Alexandre_Jordi
Heiku,1,Markesinis_Lamprinos_Marios
Gojushiho_Sho,2,Tas_Yanis
Anan_Dai,1,Matacchioni_Luigi
Gojushiho_Dai,1,Heijmens_Visser_Daan
Gojushiho_Sho,1,Iwaszkiewicz_Piotr
Anan,1,Agostini_Luis
Ohan_Dai,1,Agostini_Luis
Anan_Dai,1,Mijac_Vladimir
Enpi,1,Fernandes_David
Gojushiho_Dai,1,Bustamante_Alfredo
Gojushiho_Sho,2,Panagia_Giuseppe
Chibana_No_Kushanku,1,Carbonell_Lopez_Jose_Manuel
Suparinpei,1,Giovagnoni_Gioele
Gojushiho_Sho,1,Duchaine_Gregoire
Gojushiho_Dai,1,Sekkour_Salah_Eddine
Gojushiho_Sho,1,Sekkour_Salah_Eddine
Papuren,1,Subota_Uros
