Kata,N_Tour,Kata_Tour_Usage_Count,Kata_Tour_Win_Count,Kata_Tour_Win_Rate
Anan,Bronze,3,2,0.6666666666666666
Anan,Final,0,0,0.0
Anan,PW1,2,2,1.0
Anan,PW2,0,0,0.0
Anan,PW3,0,0,0.0
Anan,Pool_1,10,4,0.4
Anan,Pool_2,6,3,0.5
Anan,Pool_3,9,6,0.6666666666666666
Anan,R1,4,2,0.5
Anan,R2,1,1,1.0
Anan,T1,25,16,0.64
Anan,T2,20,16,0.8
Anan,T3,2,2,1.0
Anan_Dai,Bronze,2,0,0.0
Anan_Dai,Final,3,1,0.3333333333333333
Anan_Dai,PW1,5,2,0.4
Anan_Dai,PW2,1,0,0.0
Anan_Dai,PW3,0,0,0.0
Anan_Dai,Pool_1,13,3,0.23076923076923078
Anan_Dai,Pool_2,15,8,0.5333333333333333
Anan_Dai,Pool_3,11,4,0.36363636363636365
Anan_Dai,R1,4,1,0.25
Anan_Dai,R2,3,0,0.0
Anan_Dai,T1,40,14,0.35
Anan_Dai,T2,34,11,0.3235294117647059
Anan_Dai,T3,16,9,0.5625
Chatanyara_Kushanku,Bronze,7,5,0.7142857142857143
Chatanyara_Kushanku,Final,5,2,0.4
Chatanyara_Kushanku,PW1,9,4,0.4444444444444444
Chatanyara_Kushanku,PW2,5,2,0.4
Chatanyara_Kushanku,PW3,2,0,0.0
Chatanyara_Kushanku,Pool_1,13,7,0.5384615384615384
Chatanyara_Kushanku,Pool_2,16,5,0.3125
Chatanyara_Kushanku,Pool_3,14,6,0.42857142857142855
Chatanyara_Kushanku,R1,5,4,0.8
Chatanyara_Kushanku,R2,7,2,0.2857142857142857
Chatanyara_Kushanku,T1,4,1,0.25
Chatanyara_Kushanku,T2,12,4,0.3333333333333333
Chatanyara_Kushanku,T3,11,4,0.36363636363636365
Chibana_No_Kushanku,Bronze,3,2,0.6666666666666666
Chibana_No_Kushanku,Final,5,4,0.8
Chibana_No_Kushanku,PW1,6,3,0.5
Chibana_No_Kushanku,PW2,6,2,0.3333333333333333
Chibana_No_Kushanku,PW3,1,1,1.0
Chibana_No_Kushanku,Pool_1,10,5,0.5
Chibana_No_Kushanku,Pool_2,20,8,0.4
Chibana_No_Kushanku,Pool_3,11,5,0.45454545454545453
Chibana_No_Kushanku,R1,7,3,0.42857142857142855
Chibana_No_Kushanku,R2,5,3,0.6
Chibana_No_Kushanku,T1,3,2,0.6666666666666666
Chibana_No_Kushanku,T2,6,3,0.5
Chibana_No_Kushanku,T3,10,4,0.4
Enpi,Bronze,0,0,0.0
